==== 用例矩阵-设计级.csv (data rows 102) ====
D1-3 | P1 | ''
D1-4 | P2 | ''
D1-26 | P1 | ''
D1-27 | P1 | ''
D1-28 | P1 | ''
D1-30 | P2 | ''
D1-31 | P1 | ''
D1-33 | P2 | ''
D1-39 | P0 | ''
D1-40 | P0 | ''
D1-41 | P1 | ''
D1-42 | P1 | ''
D1-45 | P1 | ''
D1-65 | P2 | ''
D1-66 | P2 | ''
D1-67 | P2 | ''
D1-68 | P2 | ''
D1-69 | P2 | ''
D1-70 | P1 | ''
D2-10 | P1 | ''
D2-11 | P0 | ''
D2-12 | P1 | ''
D2-13 | P1 | ''
D2-16 | P1 | ''
D4-18 | P0 | ''
D4-19 | P0 | ''
D4-20 | P1 | ''
D2-1 | P1 | ''
D2-2 | P2 | ''
D2-4 | P0 | ''
D2-5 | P1 | ''
D2-26 | P1 | ''
D2-27 | P2 | ''
D3-A1 | P1 | ''
D3-B1 | P2 | ''
D3-B3 | P1 | ''
D3-B5 | P2 | ''
D3-C4 | P1 | ''
D3-C5 | P1 | ''
D3-C13 | P1 | ''
D3-C14 | P2 | ''
D3-S1 | P1 | ''
D3-S2 | P1 | ''
D3-S3 | P1 | ''
D3-S4 | P1 | ''
D3-S5 | P2 | ''
D3-S6 | P2 | ''
D3-S7 | P1 | ''
D3-S8 | P1 | ''
D4-1 | P0 | ''
D4-2 | P0 | ''
D4-3 | P0 | ''
D4-4 | P1 | ''
D4-5 | P0 | ''
D4-6 | P1 | ''
D4-7 | P1 | ''
D4-8 | P1 | ''
D4-9 | P0 | ''
D4-10 | P2 | ''
D4-11 | P1 | ''
D4-12 | P2 | ''
D4-13 | P1 | ''
D4-14 | P2 | ''
D4-15 | P0 | ''
D4-16 | P0 | ''
D4-17 | P1 | ''
D4-21 | P0 | ''
D4-22 | P0 | ''
D4-23 | P0 | ''
D4-24 | P1 | ''
D4-25 | P2 | ''
D4-26 | P2 | ''
D4-27 | P1 | ''
D4-28 | P0 | ''
D4-29 | P2 | ''
D5-1 | P1 | ''
D5-3 | P1 | ''
D6-1 | P2 | ''
D6-3 | P2 | ''
D6-4 | P1 | ''
D6-9 | P2 | ''
D9-9 | P1 | ''
D8-1 | P2 | ''
D8-4 | P1 | ''
D8-6 | P2 | ''
D8-7 | P0 | ''
D8-9 | P2 | ''
D8-10 | P2 | ''
D9-1 | P1 | ''
D9-2 | P1 | ''
D9-3 | P1 | ''
D9-4 | P1 | ''
D9-5 | P1 | ''
D9-6 | P1 | ''
D9-7 | P2 | ''
D9-8 | P2 | ''
D9-10 | P1 | ''
D9-11 | P1 | ''
D9-12 | P0 | ''
D9-13 | P0 | ''
D10-3 | P1 | ''
D10-4 | P0 | ''
==== 用例矩阵-展开级.csv (data rows 39) ====
EXP-D5-7-1 | P1 | ''
EXP-D5-7-3 | P1 | ''
EXP-C4-01 | P1 | ''
EXP-C4-02 | P1 | ''
EXP-C4-03 | P1 | ''
EXP-C4-04 | P1 | ''
EXP-C4-05 | P1 | ''
EXP-C4-06 | P1 | ''
EXP-C4-07 | P1 | ''
EXP-C4-08 | P1 | ''
EXP-C4-09 | P1 | ''
EXP-C4-10 | P1 | ''
EXP-C4-11 | P1 | ''
EXP-C4-12 | P1 | ''
EXP-C4-13 | P1 | ''
EXP-C4-14 | P1 | ''
EXP-C4-15 | P1 | ''
EXP-C4-16 | P1 | ''
EXP-C4-17 | P1 | ''
EXP-C4-18 | P1 | ''
EXP-C4-19 | P1 | ''
EXP-C4-20 | P1 | ''
EXP-C4-21 | P1 | ''
EXP-C4-22 | P1 | ''
EXP-E01 | P1 | ''
EXP-E02 | P1 | ''
EXP-E03 | P1 | ''
EXP-E04 | P1 | ''
EXP-E05 | P1 | ''
EXP-E06 | P1 | ''
EXP-E07 | P1 | ''
EXP-E08 | P1 | ''
EXP-E09 | P1 | ''
EXP-E10 | P1 | ''
EXP-E11 | P1 | ''
EXP-E12 | P1 | ''
EXP-E13 | P1 | ''
EXP-E14 | P1 | ''
EXP-E15 | P1 | ''
