TOTAL 39
01 EXP-D5-7-1 | src=D5-1 | type=D5客户端矩阵 | obj=OfficeAce | terminal=OfficeAce
02 EXP-D5-7-3 | src=D5-3 | type=D5客户端矩阵 | obj=OfficeAce | terminal=OfficeAce
03 EXP-C4-01 | src=D3-C4 | type=D3-C4服务矩阵 | obj=ECS | terminal=Hermes 代表终端
04 EXP-C4-02 | src=D3-C4 | type=D3-C4服务矩阵 | obj=VPC | terminal=Hermes 代表终端
05 EXP-C4-03 | src=D3-C4 | type=D3-C4服务矩阵 | obj=OBS | terminal=Hermes 代表终端
06 EXP-C4-04 | src=D3-C4 | type=D3-C4服务矩阵 | obj=RDS | terminal=Hermes 代表终端
07 EXP-C4-05 | src=D3-C4 | type=D3-C4服务矩阵 | obj=GaussDB | terminal=Hermes 代表终端
08 EXP-C4-06 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CCE | terminal=Hermes 代表终端
09 EXP-C4-07 | src=D3-C4 | type=D3-C4服务矩阵 | obj=FunctionGraph | terminal=Hermes 代表终端
10 EXP-C4-08 | src=D3-C4 | type=D3-C4服务矩阵 | obj=IAM | terminal=Hermes 代表终端
11 EXP-C4-09 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CTS | terminal=Hermes 代表终端
12 EXP-C4-10 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CES | terminal=Hermes 代表终端
13 EXP-C4-11 | src=D3-C4 | type=D3-C4服务矩阵 | obj=DDS | terminal=Hermes 代表终端
14 EXP-C4-12 | src=D3-C4 | type=D3-C4服务矩阵 | obj=DCS | terminal=Hermes 代表终端
15 EXP-C4-13 | src=D3-C4 | type=D3-C4服务矩阵 | obj=SMN | terminal=Hermes 代表终端
16 EXP-C4-14 | src=D3-C4 | type=D3-C4服务矩阵 | obj=DMS | terminal=Hermes 代表终端
17 EXP-C4-15 | src=D3-C4 | type=D3-C4服务矩阵 | obj=WAF | terminal=Hermes 代表终端
18 EXP-C4-16 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CDN | terminal=Hermes 代表终端
19 EXP-C4-17 | src=D3-C4 | type=D3-C4服务矩阵 | obj=ModelArts | terminal=Hermes 代表终端
20 EXP-C4-18 | src=D3-C4 | type=D3-C4服务矩阵 | obj=DEW | terminal=Hermes 代表终端
21 EXP-C4-19 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CBR | terminal=Hermes 代表终端
22 EXP-C4-20 | src=D3-C4 | type=D3-C4服务矩阵 | obj=EVS | terminal=Hermes 代表终端
23 EXP-C4-21 | src=D3-C4 | type=D3-C4服务矩阵 | obj=EIP | terminal=Hermes 代表终端
24 EXP-C4-22 | src=D3-C4 | type=D3-C4服务矩阵 | obj=ELB | terminal=Hermes 代表终端
25 EXP-E01 | src=D10-3 | type=D10评测集 | obj=帮我查一下我账号在华北北京四有哪些云主机 | terminal=全部客户端
26 EXP-E02 | src=D10-3 | type=D10评测集 | obj=创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型 | terminal=全部客户端
27 EXP-E03 | src=D10-3 | type=D10评测集 | obj=把本地 dist 目录部署成一个公网静态网站 | terminal=全部客户端
28 EXP-E04 | src=D10-3 | type=D10评测集 | obj=给这台服务器绑定一个弹性公网IP | terminal=全部客户端
29 EXP-E05 | src=D10-3 | type=D10评测集 | obj=看一下我的云数据库MySQL实例的状态 | terminal=全部客户端
30 EXP-E06 | src=D10-3 | type=D10评测集 | obj=创建一个 Redis 缓存实例用于会话存储 | terminal=全部客户端
31 EXP-E07 | src=D10-3 | type=D10评测集 | obj=给生产环境的服务器配置一个每日备份策略 | terminal=全部客户端
32 EXP-E08 | src=D10-3 | type=D10评测集 | obj=我的ECS启动失败了, 帮我分析原因 | terminal=全部客户端
33 EXP-E09 | src=D10-3 | type=D10评测集 | obj=开设一个 Kubernetes 集群用于微服务部署 | terminal=全部客户端
34 EXP-E10 | src=D10-3 | type=D10评测集 | obj=部署一个函数处理图片自动压缩 | terminal=全部客户端
35 EXP-E11 | src=D10-3 | type=D10评测集 | obj=查一下我账号这个月的费用情况 | terminal=全部客户端
36 EXP-E12 | src=D10-3 | type=D10评测集 | obj=把应用日志指标推送到云监控告警 | terminal=全部客户端
37 EXP-E13 | src=D10-3 | type=D10评测集 | obj=申请HTTPS证书并配置到我的域名 | terminal=全部客户端
38 EXP-E14 | src=D10-3 | type=D10评测集 | obj=我账号下的用户都有哪些权限, 帮我审计一下 | terminal=全部客户端
39 EXP-E15 | src=D10-3 | type=D10评测集 | obj=帮我领一下华为云的代金券 | terminal=全部客户端
