20 EXP-C4-18 | src=D3-C4 | type=D3-C4服务矩阵 | obj=DEW
21 EXP-C4-19 | src=D3-C4 | type=D3-C4服务矩阵 | obj=CBR
22 EXP-C4-20 | src=D3-C4 | type=D3-C4服务矩阵 | obj=EVS
23 EXP-C4-21 | src=D3-C4 | type=D3-C4服务矩阵 | obj=EIP
24 EXP-C4-22 | src=D3-C4 | type=D3-C4服务矩阵 | obj=ELB
25 EXP-E01 | src=D10-3 | type=D10评测集 | obj=帮我查一下我账号在华北北京四有哪些云主机
26 EXP-E02 | src=D10-3 | type=D10评测集 | obj=创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型
27 EXP-E03 | src=D10-3 | type=D10评测集 | obj=把本地 dist 目录部署成一个公网静态网站
28 EXP-E04 | src=D10-3 | type=D10评测集 | obj=给这台服务器绑定一个弹性公网IP
29 EXP-E05 | src=D10-3 | type=D10评测集 | obj=看一下我的云数据库MySQL实例的状态
30 EXP-E06 | src=D10-3 | type=D10评测集 | obj=创建一个 Redis 缓存实例用于会话存储
31 EXP-E07 | src=D10-3 | type=D10评测集 | obj=给生产环境的服务器配置一个每日备份策略
32 EXP-E08 | src=D10-3 | type=D10评测集 | obj=我的ECS启动失败了, 帮我分析原因
33 EXP-E09 | src=D10-3 | type=D10评测集 | obj=开设一个 Kubernetes 集群用于微服务部署
34 EXP-E10 | src=D10-3 | type=D10评测集 | obj=部署一个函数处理图片自动压缩
35 EXP-E11 | src=D10-3 | type=D10评测集 | obj=查一下我账号这个月的费用情况
36 EXP-E12 | src=D10-3 | type=D10评测集 | obj=把应用日志指标推送到云监控告警
37 EXP-E13 | src=D10-3 | type=D10评测集 | obj=申请HTTPS证书并配置到我的域名
38 EXP-E14 | src=D10-3 | type=D10评测集 | obj=我账号下的用户都有哪些权限, 帮我审计一下
39 EXP-E15 | src=D10-3 | type=D10评测集 | obj=帮我领一下华为云的代金券
