层级,ID,展开类型,枚举对象,源用例,优先级,AtomCode-113.44.197.147-Linux,CodeArtsAgent-124.70.78.131-Linux,CodeArtsWork-120.46.40.202-Windows,Codex-192.168.0.102-Windows,DSH-124.70.78.131-Linux,Hermes-1.94.218.129-Linux,Hermes-113.44.143.91-Linux,Hermes-113.44.197.147-Linux,Hermes-120.46.40.202-Windows,Hermes-124.70.78.131-Linux,OfficeAce-188.239.14.150-Windows,OpenClaw-113.44.197.147-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
展开级,EXP-D5-1-1,D5客户端矩阵,OpenCode,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,PASS:1 不涉及:13,20260915202307
展开级,EXP-D5-1-3,D5客户端矩阵,OpenCode,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,PASS:1 不涉及:13,20260915202307
展开级,EXP-D5-2-1,D5客户端矩阵,Codex,D5-1,P1,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915182030
展开级,EXP-D5-2-3,D5客户端矩阵,Codex,D5-3,P1,NA,NA,NA,SPEC-MISMATCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEC-MISMATCH:1 不涉及:13,20260915182030
展开级,EXP-D5-3-1,D5客户端矩阵,CodeArtsAgent,D5-1,P1,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915181030
展开级,EXP-D5-3-3,D5客户端矩阵,CodeArtsAgent,D5-3,P1,NA,FAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL:1 不涉及:13,20260915181030
展开级,EXP-D5-4-1,D5客户端矩阵,CodeArtsWork,D5-1,P1,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915141206
展开级,EXP-D5-4-3,D5客户端矩阵,CodeArtsWork,D5-3,P1,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915141206
展开级,EXP-D5-5-1,D5客户端矩阵,WorkBuddy,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,PASS:1 不涉及:13,20260915201928
展开级,EXP-D5-5-3,D5客户端矩阵,WorkBuddy,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,PASS:1 不涉及:13,20260915201928
展开级,EXP-D5-6-1,D5客户端矩阵,DSH,D5-1,P1,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915181637
展开级,EXP-D5-6-3,D5客户端矩阵,DSH,D5-3,P1,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915181637
展开级,EXP-D5-7-1,D5客户端矩阵,OfficeAce,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,NA,PASS:1 不涉及:13,20260915004130
展开级,EXP-D5-7-3,D5客户端矩阵,OfficeAce,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,NA,PASS:1 不涉及:13,20260915004130
展开级,EXP-D5-8-1,D5客户端矩阵,Hermes,D5-1,P1,NA,NA,NA,NA,NA,PASS,PASS,PASS,PASS,BLOCKED,NA,NA,NA,NA,PASS:4 BLOCKED:1 不涉及:9,20260915194013
展开级,EXP-D5-8-3,D5客户端矩阵,Hermes,D5-3,P1,NA,NA,NA,NA,NA,PASS,PASS,PASS,PASS,PASS,NA,NA,NA,NA,PASS:5 不涉及:9,20260915194013
展开级,EXP-D5-9-1,D5客户端矩阵,OpenClaw,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,PASS:1 不涉及:13,20260915182930
展开级,EXP-D5-9-3,D5客户端矩阵,OpenClaw,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,PASS:1 不涉及:13,20260915182930
展开级,EXP-D5-10-1,D5客户端矩阵,AtomCode,D5-1,P1,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915181335
展开级,EXP-D5-10-3,D5客户端矩阵,AtomCode,D5-3,P1,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915181335
展开级,EXP-E01,D10评测集,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E02,D10评测集,"创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型",D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E03,D10评测集,把本地 dist 目录部署成一个公网静态网站,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E04,D10评测集,给这台服务器绑定一个弹性公网IP,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E05,D10评测集,看一下我的云数据库MySQL实例的状态,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E06,D10评测集,创建一个 Redis 缓存实例用于会话存储,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,PASS,PASS,PASS,BLOCKED,NA,NA,PASS,NA,PASS:4 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E07,D10评测集,给生产环境的服务器配置一个每日备份策略,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E08,D10评测集,"我的ECS启动失败了, 帮我分析原因",D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E09,D10评测集,开设一个 Kubernetes 集群用于微服务部署,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,PASS,PASS,PASS,BLOCKED,NA,NA,PASS,NA,PASS:4 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E10,D10评测集,部署一个函数处理图片自动压缩,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E11,D10评测集,查一下我账号这个月的费用情况,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E12,D10评测集,把应用日志指标推送到云监控告警,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E13,D10评测集,申请HTTPS证书并配置到我的域名,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E14,D10评测集,"我账号下的用户都有哪些权限, 帮我审计一下",D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,FAIL,FAIL,PASS,BLOCKED,NA,NA,PASS,NA,PASS:2 FAIL:2 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-E15,D10评测集,帮我领一下华为云的代金券,D10-3,P1,NA,NA,NA,BLOCKED,NA,BLOCKED,PASS,PASS,PASS,BLOCKED,NA,NA,PASS,NA,PASS:4 BLOCKED:3 不涉及:7,20260915202307
展开级,EXP-NR3-01,NR3终端矩阵,Windows-stdio-COMMON,D1-27,P1,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915184210
展开级,EXP-NR3-02,NR3终端矩阵,Linux-OS_MATRIX,D1-27,P1,NA,NA,NA,NA,NA,PASS,PASS,PASS,NA,PASS,NA,NA,NA,NA,PASS:4 不涉及:10,20260915194013
展开级,EXP-NR3-03,NR3终端矩阵,Windows-真实安装布局-CROSS_PROCESS,D1-42,P1,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260915184210
展开级,EXP-NR3-04,NR3终端矩阵,Linux-OS_MATRIX,D1-42,P1,NA,NA,NA,NA,NA,PASS,PASS,PASS,NA,BLOCKED,NA,NA,NA,NA,PASS:3 BLOCKED:1 不涉及:10,20260915194013
展开级,EXP-NR3-09,NR3终端矩阵,Windows-stdio+真实存量-OS_MATRIX,D1-39,P0,NA,NA,NA,NA,NA,NA,NA,NA,FAIL,NA,NA,NA,NA,NA,FAIL:1 不涉及:13,20260915184210
