层级,ID,展开类型,枚举对象,源用例,优先级,AtomCode-113.44.197.147-Linux,CodeArtsAgent-124.70.78.131-Linux,CodeArtsSpace-120.46.40.202-Windows,CodeArtsWork-120.46.40.202-Windows,Codex-192.168.0.102-Windows,DSH-124.70.78.131-Linux,Hermes-1.94.218.129-Linux,Hermes-113.44.143.91-Linux,Hermes-113.44.197.147-Linux,Hermes-120.46.40.202-Windows,Hermes-124.70.78.131-Linux,OpenClaw-113.44.197.147-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
展开级,EXP-D5-1-1,D5客户端矩阵,OpenCode,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,PASS:1 不涉及:13,20260923165414
展开级,EXP-D5-1-3,D5客户端矩阵,OpenCode,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,PASS:1 不涉及:13,20260923165414
展开级,EXP-D5-2-1,D5客户端矩阵,Codex,D5-1,P1,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923051400
展开级,EXP-D5-2-3,D5客户端矩阵,Codex,D5-3,P1,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923051400
展开级,EXP-D5-3-1,D5客户端矩阵,CodeArtsAgent,D5-1,P1,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923165524
展开级,EXP-D5-3-3,D5客户端矩阵,CodeArtsAgent,D5-3,P1,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923165524
展开级,EXP-D5-4-1,D5客户端矩阵,CodeArtsWork,D5-1,P1,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923084706
展开级,EXP-D5-4-3,D5客户端矩阵,CodeArtsWork,D5-3,P1,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923084706
展开级,EXP-D5-5-1,D5客户端矩阵,WorkBuddy,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,PASS:1 不涉及:13,20260922211207
展开级,EXP-D5-5-3,D5客户端矩阵,WorkBuddy,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,PASS:1 不涉及:13,20260922211207
展开级,EXP-D5-6-1,D5客户端矩阵,DSH,D5-1,P1,NA,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923165830
展开级,EXP-D5-6-3,D5客户端矩阵,DSH,D5-3,P1,NA,NA,NA,NA,NA,PASS,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923165830
展开级,EXP-D5-7-1,D5客户端矩阵,OfficeAce,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,不涉及:14,
展开级,EXP-D5-7-3,D5客户端矩阵,OfficeAce,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,不涉及:14,
展开级,EXP-D5-8-1,D5客户端矩阵,Hermes,D5-1,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-D5-8-3,D5客户端矩阵,Hermes,D5-3,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-D5-9-1,D5客户端矩阵,OpenClaw,D5-1,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,PASS:1 不涉及:13,20260923054143
展开级,EXP-D5-9-3,D5客户端矩阵,OpenClaw,D5-3,P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS,NA,NA,PASS:1 不涉及:13,20260923054143
展开级,EXP-D5-10-1,D5客户端矩阵,AtomCode,D5-1,P1,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923051403
展开级,EXP-D5-10-3,D5客户端矩阵,AtomCode,D5-3,P1,PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASS:1 不涉及:13,20260923051403
展开级,EXP-C4-01,D3-C4服务矩阵,ECS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-02,D3-C4服务矩阵,VPC,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-03,D3-C4服务矩阵,OBS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-04,D3-C4服务矩阵,RDS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-05,D3-C4服务矩阵,GaussDB,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-06,D3-C4服务矩阵,CCE,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-07,D3-C4服务矩阵,FunctionGraph,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-08,D3-C4服务矩阵,IAM,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-09,D3-C4服务矩阵,CTS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-10,D3-C4服务矩阵,CES,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-11,D3-C4服务矩阵,DDS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-12,D3-C4服务矩阵,DCS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-13,D3-C4服务矩阵,SMN,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-14,D3-C4服务矩阵,DMS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,FAIL,FAIL,,PASS,NA,NA,NA,PASS:2 FAIL:2 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-15,D3-C4服务矩阵,WAF,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-16,D3-C4服务矩阵,CDN,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-17,D3-C4服务矩阵,ModelArts,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-18,D3-C4服务矩阵,DEW,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,FAIL,FAIL,,PASS,NA,NA,NA,PASS:2 FAIL:2 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-19,D3-C4服务矩阵,CBR,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-20,D3-C4服务矩阵,EVS,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-21,D3-C4服务矩阵,EIP,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-C4-22,D3-C4服务矩阵,ELB,D3-C4,P1,NA,NA,NA,NA,NA,NA,PASS,PASS,PASS,,PASS,NA,NA,NA,PASS:4 不涉及:9 未回填:1,20260923165912
展开级,EXP-E01,D10评测集,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,FAIL,FAIL,NA,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,,FAIL,FAIL,FAIL,FAIL,PASS:1 FAIL:11 不涉及:1 未回填:1,20260923170206
