层级,ID,展开类型,枚举对象,源用例,优先级,Hermes-124.70.78.131-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
展开级,EXP-D5-1-1,D5客户端矩阵,OpenCode,D5-1,P1,NA,PASS,NA,PASS:1 不涉及:2,20260926050351
展开级,EXP-D5-1-3,D5客户端矩阵,OpenCode,D5-3,P1,NA,PASS,NA,PASS:1 不涉及:2,20260926050351
展开级,EXP-D5-2-1,D5客户端矩阵,Codex,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-2-3,D5客户端矩阵,Codex,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-3-1,D5客户端矩阵,CodeArtsAgent,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-3-3,D5客户端矩阵,CodeArtsAgent,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-4-1,D5客户端矩阵,CodeArtsSpace,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-4-3,D5客户端矩阵,CodeArtsSpace,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-5-1,D5客户端矩阵,WorkBuddy,D5-1,P1,NA,NA,PASS,PASS:1 不涉及:2,20260926051500
展开级,EXP-D5-5-3,D5客户端矩阵,WorkBuddy,D5-3,P1,NA,NA,PASS,PASS:1 不涉及:2,20260926051500
展开级,EXP-D5-6-1,D5客户端矩阵,DSH,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-6-3,D5客户端矩阵,DSH,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-7-1,D5客户端矩阵,OfficeAce,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-7-3,D5客户端矩阵,OfficeAce,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-8-1,D5客户端矩阵,Hermes,D5-1,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-D5-8-3,D5客户端矩阵,Hermes,D5-3,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-D5-9-1,D5客户端矩阵,OpenClaw,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-9-3,D5客户端矩阵,OpenClaw,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-10-1,D5客户端矩阵,AtomCode,D5-1,P1,NA,NA,NA,不涉及:3,
展开级,EXP-D5-10-3,D5客户端矩阵,AtomCode,D5-3,P1,NA,NA,NA,不涉及:3,
展开级,EXP-C4-01,D3-C4服务矩阵,ECS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-02,D3-C4服务矩阵,VPC,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-03,D3-C4服务矩阵,OBS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-04,D3-C4服务矩阵,RDS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-05,D3-C4服务矩阵,GaussDB,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-06,D3-C4服务矩阵,CCE,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-07,D3-C4服务矩阵,FunctionGraph,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-08,D3-C4服务矩阵,IAM,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-09,D3-C4服务矩阵,CTS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-10,D3-C4服务矩阵,CES,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-11,D3-C4服务矩阵,DDS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-12,D3-C4服务矩阵,DCS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-13,D3-C4服务矩阵,SMN,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
