层级,ID,名称,源用例,优先级,OpenCode,Codex,CodeArtsAgent,CodeArtsWork,WorkBuddy,DSH,OfficeAce,Hermes,OpenClaw,AtomCode,当日总执行状态
设计级,D1-1,全新环境引导安装,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-2,多Agent探测,,P2,,,,,,,,,,,NOT_RUN
设计级,D1-3,doctor健康自检,,P1,,,,,,,,,,,PASS
设计级,D1-4,status/update幂等,,P2,,,,,,,,,,,PASS
设计级,D1-5,uninstall干净度,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-6,install-hcloud,,P2,,,,,,,,,,,PASS
设计级,D1-7,OpenClaw插件流,,P2,,,,,,,,,,,NOT_RUN
设计级,D1-8,通用MCP通道,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-9,重启生效语义,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-10,卸载全局清理(新flag),,P1,,,,,,,,,,,NOT_RUN
设计级,D1-11,自定义HCLOUD_BIN保留,,P2,,,,,,,,,,,NOT_RUN
设计级,D1-12,清理幂等归零,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-13,Windows文件锁下清理,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-14,copyFileVerified安装完整性,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-15,checkForUpdate更新提示,,P2,,,,,,,,,,,NOT_RUN
设计级,D1-26,升级提醒工具注册与协议暴露,,P1,,,,,,,,,,,PASS
设计级,D1-27,检测语义-已是最新,,P1,,,,,,,,,,,PASS
设计级,D1-28,检测语义-有新版本,,P1,,,,,,,,,,,PASS
设计级,D1-29,pre-release 用户提醒策略(文档vs实现差异),,P1,,,,,,,,,,,SPEC-MISMATCH
设计级,D1-30,semver 比对正确性,,P2,,,,,,,,,,,PASS
设计级,D1-31,dismiss 冷却期,,P1,,,,,,,,,,,PASS
设计级,D1-32,新版本>dismissedVersion 无视冷却,,P1,,,,,,,,,,,PASS
设计级,D1-33,skip 文件持久化与多路径,,P2,,,,,,,,,,,PASS
设计级,D1-34,check_failed 不阻塞正常调用,,P1,,,,,,,,,,,PASS
设计级,D1-35,缓存 TTL 与失败节流,,P2,,,,,,,,,,,PASS
设计级,D1-36,首调用兜底包装 wrapResult,,P2,,,,,,,,,,,PASS
设计级,D1-37,SKILL.md 会话启动指令存在性,,P2,,,,,,,,,,,PASS
设计级,D1-38,huaweicloud_upgrade 语义,,P1,,,,,,,,,,,PASS
设计级,D1-39,Windows 升级检测链可用性,,P0,,,,,,,,,,,FAIL
设计级,D1-40,镜像 lag 下检测正确性(反向提醒防护),,P0,,,,,,,,,,,PASS
设计级,D1-41,check_update 真实 MCP 返回契约,,P1,,,,,,,,,,,PASS
设计级,D1-42,dismiss 真实闭环与跨调用持久化,,P1,,,,,,,,,,,PASS
设计级,D1-43,dismiss 参数边界与失败语义,,P1,,,,,,,,,,,SPEC-MISMATCH
设计级,D1-44,冷却边界与异常 skip 状态,,P1,,,,,,,,,,,PASS
设计级,D1-45,兜底提示真实序列与预热竞态,,P1,,,,,,,,,,,PASS
设计级,D1-46,缓存 TTL 边界与查询异常恢复,,P1,,,,,,,,,,,SPEC-MISMATCH
设计级,D1-47,缓存与当前版本解耦,,P2,,,,,,,,,,,PASS
设计级,D1-48,多 Agent 路径与多进程隔离,,P1,,,,,,,,,,,PASS
设计级,D1-49,upgrade handler 无更新与参数校验,,P1,,,,,,,,,,,PASS
设计级,D1-50,upgrade 命令语义与目标选择,,P1,,,,,,,,,,,PASS
设计级,D1-51,upgrade 失败恢复与副作用,,P1,,,,,,,,,,,PASS
设计级,D1-52,真实升级安装与重启生效,,P1,,,,,,,,,,,BLOCKED
设计级,D1-53,镜像滞后确定性夹具,,P1,,,,,,,,,,,PASS
设计级,D1-54,Hermes 会话级用户闭环,,P1,,,,,,,,,,,PASS
设计级,D1-55,多会话提示隔离,,P2,,,,,,,,,,,SPEC-MISMATCH
设计级,D1-56,安装中断恢复（网络/进程中断后半装补全）,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-57,升级坏版本回滚（装坏可退）,,P1,,,,,,,,,,,NOT_RUN
设计级,D1-58,通用 MCP 白名单接入（Claude/Cursor merge 语义）,,P1,,,,,,,,,,,PASS
设计级,D2-8,credentials变更后auth回归,,P1,,,,,,,,,,,NOT_RUN
设计级,D2-9,reconcile幂等(一致态零写),,P1,,,,,,,,,,,NOT_RUN
设计级,D2-10,R7 current档跟随,,P1,,,,,,,,,,,PASS
设计级,D2-11,R3 STS token拒绝落盘,,P0,,,,,,,,,,,PASS
设计级,D2-12,R10 runtime非空禁止落盘,,P1,,,,,,,,,,,PASS
设计级,D2-13,R9 configuredBySession优先env,,P1,,,,,,,,,,,PASS
设计级,D2-14,R2 冲突交互仲裁(confirmToken),,P1,,,,,,,,,,,PASS
设计级,D2-15,auth_switch行为矩阵抽查,,P1,,,,,,,,,,,PASS
设计级,D2-16,import文件读取后擦除,,P1,,,,,,,,,,,PASS
设计级,D2-17,cmdAuthReconcile非TTY守卫,,P1,,,,,,,,,,,NOT_RUN
设计级,D2-18,.last_sync mtime手动改动检测,,P1,,,,,,,,,,,PASS
设计级,D2-19,命名档只审计不自动动(R5),,P1,,,,,,,,,,,PASS
设计级,D2-20,HUAWEICLOUD_HOME重定向(R6),,P2,,,,,,,,,,,SPEC-MISMATCH
