层级,ID,维度,标题,优先级,OpenCode-Windows,OpenCode-Linux,Codex-Windows,Codex-Linux,CodeArtsAgent-Windows,CodeArtsAgent-Linux,CodeArtsWork-Windows,CodeArtsWork-Linux,WorkBuddy-Windows,WorkBuddy-Linux,DSH-Windows,DSH-Linux,OfficeAce-Windows,OfficeAce-Linux,Hermes-Windows,Hermes-Linux,OpenClaw-Windows,OpenClaw-Linux,AtomCode-Windows,AtomCode-Linux,当日总执行状态
设计级,D1-1,D1安装,全新环境引导安装,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-2,D1安装,多Agent探测,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-3,D1安装,doctor健康自检,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-4,D1安装,status/update幂等,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-5,D1安装,uninstall干净度,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-6,D1安装,install-hcloud,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-7,D1安装,OpenClaw插件流,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-8,D1安装,通用MCP通道,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-9,D1安装,重启生效语义,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-10,D1安装,卸载全局清理(新flag),P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-11,D1安装,自定义HCLOUD_BIN保留,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-12,D1安装,清理幂等归零,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-13,D1安装,Windows文件锁下清理,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-14,D1安装,copyFileVerified安装完整性,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-15,D1安装,checkForUpdate更新提示,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-26,D1安装,升级提醒工具注册与协议暴露,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-27,D1安装,检测语义-已是最新,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-28,D1安装,检测语义-有新版本,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-29,D1安装,pre-release 用户提醒策略(文档vs实现差异),P1,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D1-30,D1安装,semver 比对正确性,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-31,D1安装,dismiss 冷却期,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-32,D1安装,新版本>dismissedVersion 无视冷却,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-33,D1安装,skip 文件持久化与多路径,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-34,D1安装,check_failed 不阻塞正常调用,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-35,D1安装,缓存 TTL 与失败节流,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-36,D1安装,首调用兜底包装 wrapResult,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-37,D1安装,SKILL.md 会话启动指令存在性,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-38,D1安装,huaweicloud_upgrade 语义,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-39,D1安装,Windows 升级检测链可用性,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-40,D1安装,镜像 lag 下检测正确性(反向提醒防护),P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
