层级,ID,维度,标题,优先级,AtomCode-113.44.197.147-Linux,CodeArtsAgent-124.70.78.131-Linux,CodeArtsWork-120.46.40.202-Windows,Codex-192.168.0.102-Windows,DSH-124.70.78.131-Linux,Hermes-1.94.218.129-Linux,Hermes-113.44.143.91-Linux,Hermes-113.44.197.147-Linux,Hermes-120.46.40.202-Windows,Hermes-124.70.78.131-Linux,OfficeAce-188.239.14.150-Windows,OpenClaw-113.44.197.147-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
设计级,D1-1,D1安装,全新环境引导安装,P1,BLOCKED,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS:11 BLOCKED:3,20260915215946
设计级,D1-2,D1安装,多Agent探测,P2,BLOCKED,BLOCKED,PASS,FAIL,PASS,BLOCKED,PASS,PASS,PASS,BLOCKED,PASS,BLOCKED,PASS,PASS,PASS:8 FAIL:1 BLOCKED:5,20260915215946
设计级,D1-3,D1安装,doctor健康自检,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS:13 BLOCKED:1,20260916043402
设计级,D1-4,D1安装,status/update幂等,P2,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS:12 BLOCKED:2,20260916043405
设计级,D1-5,D1安装,uninstall干净度,P1,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS:8 BLOCKED:6,20260915220015
设计级,D1-6,D1安装,install-hcloud,P2,BLOCKED,BLOCKED,PASS,BLOCKED,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,BLOCKED,PASS,PASS,PASS:9 BLOCKED:5,20260915215946
设计级,D1-26,D1安装,升级提醒工具注册与协议暴露,P1,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS:13 FAIL:1,20260916043402
设计级,D1-27,D1安装,检测语义-已是最新,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS:14,20260916043402
设计级,D1-28,D1安装,检测语义-有新版本,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS:14,20260916043402
设计级,D1-30,D1安装,semver 比对正确性,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS:14,20260916043606
设计级,D1-31,D1安装,dismiss 冷却期,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS:13 BLOCKED:1,20260916043402
设计级,D1-33,D1安装,skip 文件持久化与多路径,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS:13 BLOCKED:1,20260916043406
设计级,D1-39,D1安装,Windows 升级检测链可用性,P0,PASS,BLOCKED,PASS,PASS,FAIL,PASS,BLOCKED,BLOCKED,FAIL,BLOCKED,PASS,PASS,PASS,FAIL,PASS:7 FAIL:3 BLOCKED:4,20260916042908
设计级,D1-40,D1安装,镜像 lag 下检测正确性(反向提醒防护),P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS:14,20260916042311
设计级,D1-41,D1安装,check_update 真实 MCP 返回契约,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS:13 BLOCKED:1,20260916043402
设计级,D1-42,D1安装,dismiss 真实闭环与跨调用持久化,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS:12 BLOCKED:2,20260915220015
设计级,D1-45,D1安装,兜底提示真实序列与预热竞态,P1,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS:11 BLOCKED:3,20260915220015
设计级,D1-58,D1安装,通用 MCP 白名单接入（Claude/Cursor merge 语义）,P1,BLOCKED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED,PASS,BLOCKED,PASS,PASS:11 BLOCKED:3,20260915215946
设计级,D2-10,D2认证,R7 current档跟随,P1,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,PASS:11 BLOCKED:3,20260915202236
设计级,D2-11,D2认证,R3 STS token拒绝落盘,P0,PASS,PASS,BLOCKED,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS:10 FAIL:2 BLOCKED:2,20260916042908
