层级,ID,维度,标题,优先级,AtomCode-113.44.197.147-Linux,CodeArtsAgent-124.70.78.131-Linux,CodeArtsSpace-120.46.40.202-Windows,Codex-192.168.0.102-Windows,DSH-124.70.78.131-Linux,Hermes-1.94.218.129-Linux,Hermes-113.44.143.91-Linux,Hermes-113.44.197.147-Linux,Hermes-120.46.40.202-Windows,OpenClaw-113.44.197.147-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
设计级,D1-3,D1安装,doctor健康自检,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-4,D1安装,status/update幂等,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-26,D1安装,升级提醒工具注册与协议暴露,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-27,D1安装,检测语义-已是最新,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-28,D1安装,检测语义-有新版本,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-30,D1安装,semver 比对正确性,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-31,D1安装,dismiss 冷却期,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-33,D1安装,skip 文件持久化与多路径,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-39,D1安装,Windows 升级检测链可用性,P0,NOT_RUN,NOT_RUN,PASS,PASS,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,NOT_RUN,PASS,PASS,PASS:4 NOT_RUN:7 未回填:1,20260923153357
设计级,D1-40,D1安装,镜像 lag 下检测正确性(反向提醒防护),P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-41,D1安装,check_update 真实 MCP 返回契约,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-42,D1安装,dismiss 真实闭环与跨调用持久化,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-45,D1安装,兜底提示真实序列与预热竞态,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D1-65,D1安装,调试模式环境变量,P2,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 FAIL:1 未回填:1,20260923153357
设计级,D1-66,D1安装,遥测开关与端点环境变量,P2,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D1-67,D1安装,Agent toolkit 模式与 DSH 跳过安装环境变量,P2,BLOCKED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D1-68,D1安装,图标离线与区域环境变量,P2,PASS,PASS,PASS,PASS,PASS,FAIL,SPEC-MISMATCH,SPEC-MISMATCH,,PASS,PASS,PASS,PASS:8 FAIL:1 SPEC-MISMATCH:2 未回填:1,20260923153357
设计级,D1-69,D1安装,CLI help 子命令,P2,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D1-70,D1安装,代理配置与 WebSocket 代理,P1,PASS,PASS,PASS,BLOCKED,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:8 FAIL:2 BLOCKED:1 未回填:1,20260923153357
设计级,D2-10,D2认证,R7 current档跟随,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-11,D2认证,R3 STS token拒绝落盘,P0,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D2-12,D2认证,R10 runtime非空禁止落盘,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-13,D2认证,R9 configuredBySession优先env,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-16,D2认证,import文件读取后擦除,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-18,D4安全,confirm-not-deny审批语义,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-19,D4安全,确认流下预检仍生效,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-20,D4安全,拒绝后零操作,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-1,D2认证,auth init三端同步,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-2,D2认证,auth status判定准确性,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-4,D2认证,凭证脱敏正确性,P0,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,,PASS,PASS,PASS,PASS:6 FAIL:5 未回填:1,20260923153357
设计级,D2-5,D2认证,凭证缺失报错指引,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-26,D2认证,凭证备份与恢复,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D2-27,D2认证,KooCLI 版本管理,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-A1,D3功能,skill检索完整性,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-B1,D3功能,list_operations规范名,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-B3,D3功能,run_readonly脱敏执行,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-B5,D3功能,detect_framework识别,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-C4,D3功能,服务创建类回归,P1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D3-C5,D3功能,工具冒烟,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-C13,D3功能,OBS 静态网站托管配置,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-C14,D3功能,沙箱 HDKit 服务参数与 hwlink 凭证,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-S1,D3功能,场景-只读查ECS(带不改约束),P1,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,,PASS,PASS,PASS,PASS:8 FAIL:3 未回填:1,20260923153357
设计级,D3-S2,D3功能,场景-删VPC先确认,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D3-S3,D3功能,场景-沙箱预览出URL,P1,PASS,PASS,PASS,PASS,BLOCKED,FAIL,FAIL,FAIL,,BLOCKED,PASS,PASS,PASS:6 FAIL:3 BLOCKED:2 未回填:1,20260923153357
设计级,D3-S4,D3功能,场景-领券闭环,P1,PASS,PASS,PASS,BLOCKED,PASS,BLOCKED,PASS,PASS,,PASS,PASS,PASS,PASS:9 BLOCKED:2 未回填:1,20260923153357
设计级,D3-S5,D3功能,场景-复合意图分层路由,P2,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,PASS,PASS:5 FAIL:6 未回填:1,20260923153357
设计级,D3-S6,D3功能,场景-FunctionGraph定时任务,P2,PASS,FAIL,PASS,PASS,FAIL,NOT_RUN,PASS,PASS,,PASS,PASS,PASS,PASS:8 FAIL:2 NOT_RUN:1 未回填:1,20260923153357
设计级,D3-S7,D3功能,场景-跨服务交付(Web应用+RDS)并归零,P1,BLOCKED,FAIL,PASS,PASS,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,,PASS,PASS,PASS,PASS:5 FAIL:2 BLOCKED:1 NOT_RUN:3 未回填:1,20260923153357
设计级,D3-S8,D3功能,场景-操作失败后排障指引,P1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 FAIL:1 未回填:1,20260923153357
设计级,D4-1,D4安全,凭证文件读取拦截,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-2,D4安全,凭证env打印拦截,P0,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,FAIL,PASS,PASS:8 FAIL:3 未回填:1,20260923153357
设计级,D4-3,D4安全,明文secret API拦截,P0,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-4,D4安全,写操作审批门,P1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-5,D4安全,写操作误判检测,P0,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
